# Last modified: 23-03-2017@22:10:04
# LRG	HGNC_SYMBOL	REFSEQ_GENOMIC	LRG_TRANSCRIPT	REFSEQ_TRANSCRIPT	ENSEMBL_TRANSCRIPT	CCDS
LRG_115	TCIRG1	NG_007878.1	t1	NM_006019.2	-	CCDS8177.1
LRG_116	TCN2	NG_007263.1	t1	NM_000355.2	-	CCDS13881.1
LRG_117	TLR3	NG_007278.1	t1	NM_003265.2	-	CCDS3846.1
LRG_118	TMC6	NG_007879.1	t1	NM_007267.6	-	CCDS32748.1
LRG_119	TMC8	NG_007881.1	t1	NM_152468.4	-	CCDS32749.1
LRG_120	TNFRSF13B	NG_007281.1	t1	NM_012452.2	-	CCDS11181.1
LRG_121	TYK2	NG_007872.1	t1	NM_003331.4	-	CCDS12236.1
LRG_122	UNC13D	NG_007266.1	t1	NM_199242.2	ENST00000207549.8	CCDS11730.1
LRG_123	UNC93B1	NG_007581.1	t1	NM_030930.2	ENST00000227471.6	CCDS73334.1
LRG_124	UNG	NG_007284.1	t1	NM_080911.1	-	CCDS9124.1
LRG_125	WAS	NG_007877.1	t1	NM_000377.2	-	CCDS14303.1
LRG_126	ZAP70	NG_007727.1	t1	NM_001079.3	-	CCDS33254.1
LRG_127	CD55	NG_007465.1	t1	NM_000574.3	-	CCDS31006.1
LRG_128	BTK	NG_009616.1	t1	NM_000061.2	-	CCDS14482.1
LRG_129	CFP	NG_009893.1	t1	NM_002621.2	-	CCDS14282.1
LRG_130	APC	NG_008481.4	t1	NM_000038.4	-	CCDS4107.1
LRG_130	APC	NG_008481.4	t2	NM_001127510.1	-	CCDS4107.1
LRG_130	APC	NG_008481.4	t3	NM_001127511.1	-	-
LRG_131	TAZ	NG_009634.1	t1	NM_000116.3	-	CCDS14748.1
LRG_132	ACTB	NG_007992.1	t1	NM_001101.3	-	CCDS5341.1
LRG_133	AK2	NG_016269.1	t1	NM_013411.3	-	CCDS373.1
LRG_134	FAS	NG_009089.2	t1	NM_000043.4	-	CCDS7393.1
LRG_135	ATM	NG_009830.1	t1	NM_000051.3	ENST00000278616.8	CCDS31669.1
LRG_136	CFB	NG_008191.1	t1	NM_001710.5	-	CCDS4729.1
LRG_137	C4A	NG_011638.1	t1	NM_007293.2	-	CCDS47404.1
LRG_138	C4B	NG_011639.1	t1	NM_001002029.3	-	CCDS47405.1
LRG_139	C8A	NG_012049.1	t1	NM_000562.2	-	CCDS606.1
LRG_140	MS4A1	NG_023388.1	t1	NM_152866.2	-	CCDS31570.1
LRG_141	CD40LG	NG_007280.1	t1	NM_000074.2	-	CCDS14659.1
LRG_142	CD81	NG_023386.1	t1	NM_004356.3	-	CCDS7734.1
LRG_143	LYST	NG_007397.1	t1	NM_000081.3	-	CCDS31062.1
LRG_143	LYST	NG_007397.1	t2	NM_001301365.1	-	CCDS31062.1
LRG_144	CSF3R	NG_016270.1	t1	NM_156039.3	-	CCDS414.1
LRG_145	F12	NG_007568.1	t1	NM_000505.3	-	CCDS34302.1
LRG_146	FPR1	NG_023426.1	t1	NM_002029.3	-	CCDS12839.1
LRG_147	G6PC	NG_011808.1	t1	NM_000151.2	-	CCDS11446.1
LRG_148	G6PD	NG_009015.1	t1	NM_000402.3	-	CCDS14756.2
LRG_149	CFHR1	NG_013060.1	t1	NM_002113.2	-	CCDS1386.1
LRG_150	IL2RG	NG_009088.1	t1	NM_000206.2	ENST00000374202.6	CCDS14406.1
LRG_151	IL10RA	NG_016275.1	t1	NM_001558.3	-	CCDS8388.1
LRG_152	IL10RB	NG_012089.1	t1	NM_000628.3	-	CCDS13623.1
LRG_153	LCK	NG_023387.1	t1	NM_005356.4	-	CCDS359.1
LRG_154	MBL2	NG_008196.1	t1	NM_000242.2	ENST00000373968.3	CCDS7247.1
LRG_155	CD46	NG_009296.1	t1	NM_002389.4	-	CCDS1485.1
LRG_156	MVK	NG_007702.1	t1	NM_000431.2	-	CCDS9132.1
LRG_157	MYD88	NG_016964.1	t1	NM_001172567.1	-	CCDS54565.1
LRG_158	NBN	NG_008860.1	t1	NM_002485.4	-	CCDS6249.1
LRG_159	NCF4	NG_023400.1	t1	NM_013416.3	-	CCDS13935.1
LRG_160	PIGA	NG_009786.1	t1	NM_002641.3	-	CCDS14165.1
LRG_161	PMS2	NG_008466.1	t1	NM_000535.5	-	CCDS5343.1
LRG_162	PRKDC	NG_023435.1	t1	NM_006904.6	ENST00000314191.6	CCDS75735.1
LRG_163	RMRP	NG_017041.1	t1	NR_003051.3	-	-
LRG_164	STIM1	NG_016277.1	t1	NM_003156.3	-	CCDS7749.1
LRG_165	STXBP2	NG_016709.1	t1	NM_006949.2	-	CCDS12181.1
LRG_166	TAP1	NG_011759.1	t1	NM_000593.5	-	CCDS4758.1
LRG_167	TAP2	NG_009793.3	t1	NM_000544.3	-	-
LRG_167	TAP2	NG_009793.3	t2	NM_018833.2	-	CCDS4755.1
LRG_168	THBD	NG_012027.1	t1	NM_000361.2	-	CCDS13148.1
LRG_169	APOL1	NG_023228.1	t1	NM_145343.2	-	CCDS13925.1
LRG_170	AP3B1	NG_007268.1	t1	NM_003664.4	-	CCDS4041.1
LRG_171	FCN3	NG_016279.1	t1	NM_003665.2	-	CCDS300.1
LRG_172	PSTPIP1	NG_007526.1	t1	NM_003978.3	-	CCDS45312.1
LRG_173	TTC37	NG_023414.1	t1	NM_014639.3	-	CCDS4072.1
LRG_174	LPIN2	NG_007507.1	t1	NM_014646.2	ENST00000261596.8	CCDS11829.1
LRG_175	CFHR3	NG_015993.1	t1	NM_021023.5	-	CCDS30958.1
LRG_176	CHD7	NG_007009.1	t1	NM_017780.2	-	CCDS47865.1
LRG_177	NOD2	NG_007508.1	t1	NM_022162.1	-	CCDS10746.1
LRG_178	CARD9	NG_021197.1	t1	NM_052813.4	ENST00000371732.9	CCDS6997.1
LRG_179	CLEC7A	NG_016291.1	t1	NM_197947.2	-	CCDS41753.1
LRG_180	FERMT3	NG_016360.1	t1	NM_178443.2	-	CCDS8060.1
LRG_181	NLRP12	NG_008651.1	t1	NM_144687.3	-	CCDS12864.1
LRG_181	NLRP12	NG_008651.1	t2	NM_001277126.1	-	CCDS62785.1
LRG_182	G6PC3	NG_015818.1	t1	NM_138387.3	-	CCDS11476.1
LRG_183	SLC46A1	NG_013306.1	t1	NM_080669.3	-	CCDS74020.1
LRG_184	TNFRSF13C	NG_007579.1	t1	NM_052945.3	-	CCDS14024.1
LRG_185	RNF168	NG_023425.1	t1	NM_152617.3	ENST00000318037.3	CCDS3317.1
LRG_186	CSF2RA	NG_012280.1	t1	NM_001161529.1	-	CCDS35191.1
LRG_186	CSF2RA	NG_012280.1	t2	NM_001161530.1	-	CCDS55359.1
LRG_186	CSF2RA	NG_012280.1	t3	NM_001161531.1	-	CCDS55360.1
LRG_187	SLC37A4	NG_013331.1	t1	NM_001164277.1	-	-
LRG_188	IL1RN	NG_021240.1	t1	NM_173841.2	-	CCDS2114.1
LRG_189	ITK	NG_016276.1	t1	NM_005546.3	-	CCDS4336.1
LRG_190	MEFV	NG_007871.1	t1	NM_000243.2	-	CCDS10498.1
LRG_191	PIK3CD	NG_023434.1	t1	NM_005026.3	-	CCDS104.1
LRG_192	STAT5B	NG_007271.1	t1	NM_012448.3	-	CCDS11423.1
LRG_193	TNFRSF1A	NG_007506.1	t1	NM_001065.3	-	CCDS8542.1
LRG_194	TNFRSF11A	NG_008098.1	t1	NM_003839.2	-	CCDS11980.1
LRG_195	CORO1A	NG_023415.1	t1	NM_001193333.1	-	CCDS10673.1
LRG_196	DOCK8	NG_017007.1	t1	NM_203447.3	-	CCDS6440.2
LRG_197	NLRP3	NG_007509.2	t1	NM_004895.4	-	CCDS1632.1
LRG_198	AGRN	NG_016346.1	t1	NM_198576.2	-	CCDS30551.1
LRG_199	DMD	NG_012232.1	t1	NM_004006.2	-	CCDS14233.1
LRG_200	MSTN	NG_009800.1	t1	NM_005259.2	-	CCDS2303.1
LRG_201	MYOT	NG_008894.1	t1	NM_006790.2	-	CCDS4194.1
LRG_202	NEB	NG_009382.2	t1	NM_001271208.1	-	CCDS74588.1
LRG_203	SGCA	NG_008889.1	t1	NM_000023.2	-	CCDS32679.1
LRG_204	SGCB	NG_008891.1	t1	NM_000232.4	-	CCDS3488.1
LRG_205	SGCD	NG_008693.2	t1	NM_000337.5	-	CCDS47325.1
LRG_206	SGCE	NG_008893.1	t1	NM_003919.2	-	CCDS5637.1
LRG_207	SGCG	NG_008759.1	t1	NM_000231.2	-	CCDS9299.1
LRG_208	SGCZ	NG_008899.1	t1	NM_139167.2	-	CCDS5992.2
LRG_209	SSPN	NG_012011.2	t1	NM_001135823.1	-	CCDS44850.1
LRG_209	SSPN	NG_012011.2	t2	NM_005086.4	-	CCDS8707.1
LRG_210	TCAP	NG_008892.1	t1	NM_003673.3	-	CCDS11342.1
LRG_211	TRIM32	NG_011619.1	t1	NM_012210.3	-	CCDS6817.1
LRG_212	ZMPSTE24	NG_008695.1	t1	NM_005857.3	-	CCDS449.1
LRG_213	CFL2	NG_012740.1	t1	NM_138638.4	-	CCDS9649.1
LRG_214	NF1	NG_009018.1	t1	NM_000267.3	ENST00000356175.7	CCDS11264.1
LRG_214	NF1	NG_009018.1	t2	NM_001042492.2	ENST00000358273.8	CCDS42292.1
LRG_215	EPCAM	NG_012352.2	t1	NM_002354.2	-	CCDS1833.1
LRG_216	MLH1	NG_007109.2	t1	NM_000249.3	-	CCDS2663.1
LRG_217	MLH3	NG_008649.1	t1	NM_001040108.1	ENST00000355774.6	CCDS32123.1
LRG_218	MSH2	NG_007110.2	t1	NM_000251.2	-	CCDS1834.1
LRG_219	MSH6	NG_007111.1	t1	NM_000179.2	-	CCDS1836.1
LRG_220	MUTYH	NG_008189.1	t1	NM_001128425.1	-	-
LRG_221	PMS1	NG_008648.1	t1	NM_000534.4	-	CCDS2302.1
LRG_222	PSENEN	NG_027934.1	t1	NM_172341.3	-	CCDS12474.1
LRG_223	NCSTN	NG_027935.1	t1	NM_015331.2	-	CCDS1203.1
LRG_223	NCSTN	NG_027935.1	t2	NM_001290184.1	-	CCDS76228.1
LRG_224	PSEN1	NG_007386.2	t1	NM_000021.3	-	CCDS9812.1
LRG_225	PSEN2	NG_007381.1	t1	NM_000447.2	-	CCDS1556.1
LRG_226	TBX1	NG_009229.1	t1	NM_080647.1	-	CCDS13767.1
LRG_227	CFHR5	NG_016365.1	t1	NM_030787.3	-	CCDS1387.1
LRG_228	FADD	NG_027966.1	t1	NM_003824.3	-	CCDS8196.1
LRG_229	TRAF3	NG_027973.1	t1	NM_145725.2	-	CCDS9975.1
LRG_230	COL4A3	NG_011591.1	t1	NM_000091.4	ENST00000396578.7	CCDS42829.1
LRG_231	COL4A4	NG_011592.1	t1	NM_000092.4	-	CCDS42828.1
LRG_232	COL4A5	NG_011977.1	t1	NM_000495.3	-	CCDS14543.1
LRG_232	COL4A5	NG_011977.1	t2	NM_033380.1	-	CCDS35366.1
LRG_233	COL4A6	NG_012059.2	t1	NM_001847.2	-	CCDS14541.1
LRG_234	ARHGEF10	NG_008480.1	t1	NM_014629.2	-	CCDS34794.1
LRG_235	BSCL2	NG_008461.1	t1	NM_001122955.3	-	CCDS44627.1
LRG_235	BSCL2	NG_008461.1	t2	NM_032667.6	-	CCDS8031.1
LRG_236	CTDP1	NG_007988.1	t1	NM_004715.4	-	CCDS12017.1
LRG_237	DCTN1	NG_008735.2	t1	NM_004082.4	ENST00000361874.7	CCDS1939.1
LRG_237	DCTN1	NG_008735.2	t2	NM_001190836.1	-	CCDS54368.1
LRG_237	DCTN1	NG_008735.2	t3	NM_023019.3	-	CCDS46343.1
LRG_238	DNM2	NG_008792.1	t1	NM_001005360.2	-	CCDS45968.1
LRG_238	DNM2	NG_008792.1	t2	NM_001005361.2	-	CCDS45969.1
LRG_239	EGR2	NG_008936.2	t1	NM_000399.3	-	CCDS7267.1
LRG_240	FGD4	NG_008626.2	t1	NM_139241.3	-	CCDS8727.1
LRG_240	FGD4	NG_008626.2	t2	NM_001304481.1	-	CCDS76544.1
LRG_240	FGD4	NG_008626.2	t3	NM_001304480.1	-	CCDS76545.1
LRG_241	FIG4	NG_007977.1	t1	NM_014845.5	-	CCDS5078.1
LRG_242	GAN	NG_009007.1	t1	NM_022041.3	-	CCDS10935.1
LRG_243	GARS	NG_007942.1	t1	NM_002047.2	-	CCDS43564.1
LRG_244	GDAP1	NG_008787.3	t1	NM_018972.2	-	CCDS34911.1
LRG_245	GJB1	NG_008357.1	t1	NM_001097642.2	-	CCDS14408.1
LRG_246	HOXD10	NG_008133.2	t1	NM_002148.3	-	CCDS2266.1
LRG_247	WNK1	NG_007984.3	t1	NM_018979.3	ENST00000315939.10	CCDS8506.1
LRG_247	WNK1	NG_007984.3	t2	NM_213655.4	ENST00000340908.8	CCDS73419.1
LRG_248	HSPB1	NG_008995.1	t1	NM_001540.3	-	CCDS5583.1
LRG_249	HSPB8	NG_007953.2	t1	NM_014365.2	-	CCDS9189.1
LRG_250	IGHMBP2	NG_007976.1	t1	NM_002180.2	-	CCDS8187.1
LRG_251	IKBKAP	NG_008788.1	t1	NM_003640.3	-	CCDS6773.1
LRG_252	KIF1B	NG_008069.1	t1	NM_015074.3	-	CCDS111.1
LRG_253	LITAF	NG_009008.1	t1	NM_001136473.1	-	CCDS45411.1
LRG_254	LMNA	NG_008692.2	t1	NM_005572.3	-	CCDS1131.1
LRG_254	LMNA	NG_008692.2	t2	NM_170707.2	-	CCDS1129.1
LRG_254	LMNA	NG_008692.2	t3	NM_170708.2	-	-
LRG_255	MFN2	NG_007945.1	t1	NM_014874.3	-	CCDS30587.1
LRG_256	MPZ	NG_008055.1	t1	NM_000530.6	ENST00000533357.4	CCDS1229.2
LRG_257	MTMR2	NG_008333.1	t1	NM_016156.5	-	CCDS8305.1
LRG_258	NDRG1	NG_007943.1	t1	NM_006096.3	-	CCDS34945.1
LRG_259	NEFL	NG_008492.1	t1	NM_006158.4	-	CCDS75712.1
LRG_260	NGF	NG_007944.1	t1	NM_002506.2	-	CCDS882.1
LRG_261	NTRK1	NG_007493.1	t1	NM_001007792.1	-	CCDS30890.1
LRG_261	NTRK1	NG_007493.1	t2	NM_001012331.1	-	CCDS30891.1
LRG_261	NTRK1	NG_007493.1	t3	NM_002529.3	-	CCDS1161.1
LRG_262	PLEKHG5	NG_007978.1	t1	NM_020631.3	-	CCDS79.1
LRG_263	PMP22	NG_007949.1	t1	NM_000304.2	-	CCDS11168.1
LRG_264	PRPS1	NG_008407.1	t1	NM_002764.3	-	CCDS14529.1
LRG_265	PRX	NG_007979.1	t1	NM_020956.2	-	CCDS12556.1
LRG_265	PRX	NG_007979.1	t2	NM_181882.2	-	CCDS33028.1
LRG_266	RAB7A	NG_008070.1	t1	NM_004637.5	-	CCDS3052.1
LRG_267	SBF2	NG_008074.1	t1	NM_030962.3	ENST00000256190.12	CCDS31427.1
LRG_268	SETX	NG_007946.1	t1	NM_015046.5	-	CCDS6947.1
LRG_269	SH3TC2	NG_007947.2	t1	NM_024577.3	-	CCDS4293.1
LRG_270	SLC12A6	NG_007951.1	t1	NM_005135.2	-	CCDS10036.1
LRG_270	SLC12A6	NG_007951.1	t2	NM_133647.1	-	CCDS58352.1
LRG_271	SOX10	NG_007948.1	t1	NM_006941.3	-	CCDS13964.1
LRG_272	SPTLC1	NG_007950.1	t1	NM_006415.2	-	CCDS6692.1
LRG_273	YARS	NG_008408.1	t1	NM_003680.3	-	CCDS368.1
LRG_274	LDLR	NG_009060.1	t1	NM_000527.4	-	CCDS12254.1
LRG_275	PCSK9	NG_009061.1	t1	NM_174936.3	-	CCDS603.1
LRG_276	LDLRAP1	NG_008932.1	t1	NM_015627.2	-	CCDS30639.1
LRG_277	RECQL4	NG_016430.1	t1	NM_004260.3	-	CCDS75804.1
LRG_278	RNASEH2A	NG_012662.1	t1	NM_006397.2	-	CCDS12282.1
LRG_279	RNASEH2B	NG_009055.1	t1	NM_001142279.2	-	CCDS45047.1
LRG_279	RNASEH2B	NG_009055.1	t2	NM_024570.3	ENST00000336617.7	CCDS9425.1
LRG_280	RNASEH2C	NG_008976.2	t1	NM_032193.3	-	CCDS8111.1
LRG_281	SAMHD1	NG_017059.1	t1	NM_015474.3	-	CCDS13288.1
LRG_282	TREX1	NG_009820.2	t1	NM_033629.4	-	CCDS2769.1
LRG_282	TREX1	NG_009820.2	t2	NM_016381.5	-	CCDS43086.1
LRG_283	LEPR	NG_015831.2	t1	NM_001003679.3	ENST00000371060.7	CCDS30740.1
LRG_283	LEPR	NG_015831.2	t2	NM_001003680.3	ENST00000371059.7	CCDS30741.1
LRG_283	LEPR	NG_015831.2	t3	NM_002303.5	-	CCDS631.1
LRG_283	LEPR	NG_015831.2	t4	NM_001198688.1	ENST00000344610.12	CCDS55604.1
LRG_284	ZNF778	NG_028146.1	t1	NM_001201407.1	ENST00000433976.6	CCDS73928.1
LRG_285	FXR2	NG_028105.1	t1	NM_004860.3	-	CCDS45604.1
LRG_286	COL7A1	NG_007065.1	t1	NM_000094.3	-	CCDS2773.1
LRG_287	KCNQ1	NG_008935.1	t1	NM_000218.2	-	CCDS7736.1
LRG_287	KCNQ1	NG_008935.1	t2	NM_181798.1	-	-
LRG_288	KCNH2	NG_008916.1	t1	NM_000238.3	-	CCDS5910.1
